id,name,description,address,city,state,zip,phone,email,website,hours,eligibility,languages,categories,accessibility,source_url,search_category,search_zip
797e9523d1f247d6,Mental Health Evaluation * Adoption/Foster Care/Kinship Care Issues - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Foster Families > Mental Health Evaluation * Adoption/Foster Care/Kinship Care Issues 2 Matching Service Providers The mapped locations are estimates, for the exact location of an individual site, select ""More Details"" Refine Results - Select - Adoption/Foster Care/Kinship Care Issues Adoption/Foster Care/Kinship Care Issues Accessibility Options - Select - No Filter Wheelchair Access (Full) Wheelchair Access (Partial) Accessible Parking (Private Lot) Accessible Parking (Nearby Public/Street Parking) Accessible Restrooms Alternative Communication Formats Virtual Service Options Staff Trained in Disability Awareness Print & Share All Results X Print & Share Print PDF 211INFO 211INFO RESOURCE PARENT SUPPORT Print & Share X Print & Share Print PDF Offers support, resource referral, and additional after-hours support for foster parents. Eligibility: Any foster parent with an ODHS Child Welfare case or in the Oregon Foster Care System Hours: 24 hours per day / 7 days per week Email 211 Visit Website More Details KINSHIP HOUSE OUTPATIENT MENTAL HEALTH CARE Print & Share X Print & Share Print PD",,,,,(503) 460-2796,,https://www.211info.org/get-help/foster-families/mental-health-evaluation-adoption-foster-care-kinship-care-issues/,,,,"eligibility, hours, mental health, service",,https://www.211info.org/get-help/foster-families/mental-health-evaluation-adoption-foster-care-kinship-care-issues/,,
fcf735ecbf5ff3c1,Low Income/Subsidized Private Rental Housing * Foster Families - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Foster Families > Low Income/Subsidized Private Rental Housing * Foster Families 1 Matching Service Providers The mapped locations are estimates, for the exact location of an individual site, select ""More Details"" Refine Results - Select - Foster Families Foster Families Accessibility Options - Select - No Filter Wheelchair Access (Full) Wheelchair Access (Partial) Accessible Parking (Private Lot) Accessible Parking (Nearby Public/Street Parking) Accessible Restrooms Alternative Communication Formats Virtual Service Options Staff Trained in Disability Awareness Print & Share All Results X Print & Share Print PDF NATIVE AMERICAN YOUTH AND FAMILY CENTER NAYA GENERATIONS Print & Share X Print & Share Print PDF Provides an intergenerational, cooperative community designed to support families of foster children by promoting permanency, community, and caring relationships, while offering safety and meaningful purpose in the daily lives of older adults. Rental agreement includes 100 hours per quarter of volunteer service to the community. 5135 NE Columbia Boulevard Portland, OR 97218 Eligibility",,,,,(503) 719-6751,,https://www.211info.org/get-help/foster-families/low-income-subsidized-private-rental-housing-foster-families/,,,,"eligibility, hours, housing, phone, service",,https://www.211info.org/get-help/foster-families/low-income-subsidized-private-rental-housing-foster-families/,,
d3b74f029439af32,Housing Search Assistance * Foster Children - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Foster Families > Housing Search Assistance * Foster Children 1 Matching Service Providers The mapped locations are estimates, for the exact location of an individual site, select ""More Details"" Refine Results - Select - Former Foster Children Foster Children Accessibility Options - Select - No Filter Wheelchair Access (Full) Wheelchair Access (Partial) Accessible Parking (Private Lot) Accessible Parking (Nearby Public/Street Parking) Accessible Restrooms Alternative Communication Formats Virtual Service Options Staff Trained in Disability Awareness Print & Share All Results X Print & Share Print PDF OREGON STATE DEPARTMENT OF HUMAN SERVICES OREGON STATE DEPARTMENT OF HUMAN SERVICES CHILD WELFARE ADMINISTRATIVE OFFICE INDEPENDENT LIVING PROGRAM Print & Share X Print & Share Print PDF The Independent Living Program (ILP) helps youth who are, or were, in foster care to become self-sufficient adults. It gives an opportunity to learn valuable skills necessary to make a successful transition from state and Tribal custody to living on their own in the community. Services include access to case",,,,,(503) 945-6969,,https://www.211info.org/get-help/foster-families/housing-search-assistance-foster-children/,,,,"eligibility, hours, housing, program, service",,https://www.211info.org/get-help/foster-families/housing-search-assistance-foster-children/,,
bf9045526d6413a4,Mental & Behavioral Health - 211info,"Get help with resources for substance use disorder, including treatment, support groups, and halfway homes. < New Search Addiction & Substance Use Alcohol Use Disorder Education/Prevention X Alcohol Use Disorder Education/Prevention Programs that provide information about alcohol use disorders (including the symptoms, screening and diagnostic procedures and methods of treatment) and/or which offer any of a variety of services that focus on excessive alcohol use prevention for people of all ages who are at risk. Included may be printed materials or videos that address the subject; psycho-educational and skill building activities; structured groups which focus on family dynamics, problem solving, self-esteem and similar issues; and presentations in schools and agencies and to family groups regarding the dangers of excessive alcohol use, the signs of related disorders, the potential legal consequences of excessive alcohol use and how to get help. X Would you like to add a location? Adding your location allows us to show resources near to you. Search Search All Areas > Alcohol Use Disorder Education/Prevention * Hispanic/Latino Community X Would you like to add a location? Adding your",,,,,,,https://www.211info.org/get-help/mental-behavioral-health/-C/,,,,"address, food, hours, housing, intake, mental health, phone, program",,https://www.211info.org/get-help/mental-behavioral-health/-C/,,
000a326f343ed97d,General Clothing Provision * Homeless Men - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Basic Needs > General Clothing Provision * Homeless Men 1 Matching Service Providers Refine Results - Select - No Filter AIDS/HIV At Risk Youth Homeless Families Homeless Men Homeless Youth Homelessness Issues Print & Share All Results X Print & Share Print PDF BOISE RESCUE MISSION MINISTRIES RIVER OF LIFE MEN'S SHELTER Print & Share X Print & Share Print PDF Offers emergency meals, shelter, and clothing. Shelter services include education, job search assistance, and mental health counseling. 575 S 13th Street Boise, ID 83702 Eligibility: Shelter and clothing: Men experiencing homelessness with a focus on veterans Meals: Unrestricted Hours: Shelter: Check in 4pm-5:30pm Dinner: 5pm for community guests including women and children Email (208) 389-9840 Get Directions Visit Website More Details No Mapping Information Available",,,,,(208) 389-9840,,https://gethelp.211info.org/get-help/basic-needs/general-clothing-provision-homeless-men/,,,,"eligibility, hours, mental health, service, shelter",,https://gethelp.211info.org/get-help/basic-needs/general-clothing-provision-homeless-men/,,
cb74bbef1e08deef,Housing Search Assistance * Former Foster Children - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Foster Families > Housing Search Assistance * Former Foster Children 1 Matching Service Providers The mapped locations are estimates, for the exact location of an individual site, select ""More Details"" Refine Results - Select - Former Foster Children Foster Children Accessibility Options - Select - No Filter Wheelchair Access (Full) Wheelchair Access (Partial) Accessible Parking (Private Lot) Accessible Parking (Nearby Public/Street Parking) Accessible Restrooms Alternative Communication Formats Virtual Service Options Staff Trained in Disability Awareness Print & Share All Results X Print & Share Print PDF OREGON STATE DEPARTMENT OF HUMAN SERVICES OREGON STATE DEPARTMENT OF HUMAN SERVICES CHILD WELFARE ADMINISTRATIVE OFFICE INDEPENDENT LIVING PROGRAM Print & Share X Print & Share Print PDF The Independent Living Program (ILP) helps youth who are, or were, in foster care to become self-sufficient adults. It gives an opportunity to learn valuable skills necessary to make a successful transition from state and Tribal custody to living on their own in the community. Services include access t",,,,,(503) 945-6969,,https://www.211info.org/get-help/foster-families/housing-search-assistance-former-foster-children/,,,,"eligibility, hours, housing, program, service",,https://www.211info.org/get-help/foster-families/housing-search-assistance-former-foster-children/,,
efd0375f4fae2d05,Community Mental Health Agencies * Native American Community - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Diverse Populations > Community Mental Health Agencies * Native American Community 3 Matching Service Providers The mapped locations are estimates, for the exact location of an individual site, select ""More Details"" Accessibility Options - Select - No Filter Wheelchair Access (Full) Wheelchair Access (Partial) Accessible Parking (Private Lot) Accessible Parking (Nearby Public/Street Parking) Accessible Restrooms Alternative Communication Formats Virtual Service Options Staff Trained in Disability Awareness Print & Share All Results X Print & Share Print PDF GRAND RONDE HEALTH AND WELLNESS CENTER BEHAVIORAL HEALTH SERVICES Print & Share X Print & Share Print PDF Offers comprehensive behavioral health services, including mental health evaluations and treatment, counseling, substance use disorder treatment, medication management, peer support specialists, transportation coordination, and help connecting with community resources. 9615 Grand Ronde Road Grand Ronde, OR 97347 Eligibility: Native Americans and Tribal services employees (and family members on health insurance plan) Hours: Monday/T",,,,,(503) 879-2026,,https://www.211info.org/get-help/diverse-populations/community-mental-health-agencies-native-american-community/,,,,"eligibility, hours, mental health, phone, resources, service, transportation",,https://www.211info.org/get-help/diverse-populations/community-mental-health-agencies-native-american-community/,,
308e4c7db3790a4d,Basic Needs - 211info,< New Search Clothing Baby Clothing X Baby Clothing Programs that pay for or provide new or secondhand clothing and layettes for infants and young children. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Children's Clothing X Children's Clothing Programs that pay for or provide new or secondhand clothing for children and/or adolescents. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Children's Clothing * Foster Children X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Clothing Vouchers X Clothing Vouchers Programs that supply coupons that can be exchanged in designated thrift shops or nonprofit organizations for clothing. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search General Clothing Provision X General Clothing Provision Programs that provide clothing for people who need it. Available items depend on what has been donated and is on hand at any given time. The collection may include but does not specialize in ch,,,,,,,https://gethelp.211info.org/get-help/basic-needs/general-clothing-provision-homeless-women/,,,,"food, phone, program, resources, service, shelter",,https://gethelp.211info.org/get-help/basic-needs/general-clothing-provision-homeless-women/,,
f8c32959a450e26a,Early Intervention for Children with Disabilities/Delays * Deafness - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Diverse Populations > Early Intervention for Children with Disabilities/Delays * Deafness 1 Matching Service Providers Refine Results - Select - African American Community Deafness Print & Share All Results X Print & Share Print PDF TUCKER MAXON SCHOOL EARLY INTERVENTION Print & Share X Print & Share Print PDF Focuses on developing collaborative partnerships with parents and children that facilitate spoken language development through listening. Offers intensive auditory-oral intervention, on-site audiologist who does hearing aid analysis and cochlear implant mapping, regular home and school sessions, facilitated toddler groups with both children with typical hearing and children who are deaf and support and information for families. 2860 SE Holgate Boulevard Portland, OR 97202 Eligibility: Newborns to age 3 with a hearing impairment Hours: Monday-Friday 8am-4pm Email (503) 235-6551 Get Directions Visit Website More Details TUCKER MAXON SCHOOL EARLY INTERVENTION",,,,,(503) 235-6551,,https://gethelp.211info.org/get-help/diverse-populations/early-intervention-for-children-with-disabilities-delays-deafness/,,,,"eligibility, hours, service",,https://gethelp.211info.org/get-help/diverse-populations/early-intervention-for-children-with-disabilities-delays-deafness/,,
11d1d45437930600,Community Meals * At Risk Youth - 211info,"- Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name > New Search > Food > Community Meals * At Risk Youth 3 Matching Service Providers Refine Results - Select - No Filter At Risk Youth Homeless Men Homeless Youth Print & Share All Results X Print & Share Print PDF JOE'S PLACE MINISTRIES CAVE JUNCTION YOUTH CENTER Print & Share X Print & Share Print PDF Provides a place to connect with others through social activities that include games, events, and outings. Also provides meals, clothing, and personal care products. 126 S Redwood Highway Cave Junction, OR 97523 Eligibility: Ages 11-18 Hours: Monday-Thursday 3:30pm-6:30pm Email (541) 476-4563 Get Directions Visit Website More Details JOE'S PLACE MINISTRIES GRANTS PASS YOUTH CENTER Print & Share X Print & Share Print PDF Provides a place to connect with others through social activities that include games, events, and outings. Also provides meals, clothing, and personal care products. 1205 Rouge River Highway Grants Pass, OR 97527 Eligibility: Ages 11-18 Hours: Monday-Thursday 3pm-6pm Email (541) 476-4563 Get Directions Visit Website More Details MID-WILLAMETTE VALLEY COMMUNITY ACTION AGENCY COMMUNITY ACTION",,,,,(541) 476-4563,,https://gethelp.211info.org/get-help/food/community-meals-at-risk-youth/,,,,"eligibility, food, hours, program, resources, service, shelter",,https://gethelp.211info.org/get-help/food/community-meals-at-risk-youth/,,
