source_run,id,name,description,address,city,state,zip,phone,email,website,hours,eligibility,languages,categories,accessibility,source_url,search_category,search_zip,source,processed_at,provider_name,program_name
warehouse_smoke,c1cd8072a1ecf0cf,211info - Connecting / Informing / Empowering,How Can We Help You? - Radius - 5 Miles 10 Miles 25 Miles 50 Miles 100 Miles Search by Provider Name You can also use the Guided Search below or dial 2-1-1 (toll free: 866-698-6155 ). Language interpreters are available. Use the Guided Search below or dial 2-1-1 (toll free: 866-698-6155 ). Language interpreters are available. X You didn't add a location. Adding your location allows us to show resources near to you. Search All Add Location Guided Search Crisis Hotlines Housing & Shelter Utility Assistance Parenting & Childcare Food Health Care Mental & Behavioral Health Legal & Public Safety Basic Needs Transportation Employment Foster Families Youth Services Education Volunteering & Donating Diverse Populations Disaster Services Financial Wellness,,,,,866-698-6155,,https://gethelp.211info.org/,,,,"food, housing, resources, service, shelter, transportation, utility",,https://gethelp.211info.org/,,,agentic_daemon,2026-05-02T19:42:13.370442,,
live,5f5eabc208950fea,Basic Needs,< New Search Clothing Baby Clothing X Baby Clothing Programs that pay for or provide new or secondhand clothing and layettes for infants and young children. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Children's Clothing X Children's Clothing Programs that pay for or provide new or secondhand clothing for children and/or adolescents. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Children's Clothing * Foster Children X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search Clothing Vouchers X Clothing Vouchers Programs that supply coupons that can be exchanged in designated thrift shops or nonprofit organizations for clothing. X Would you like to add a location? Adding your location allows us to show resources near to you. Search All Search General Clothing Provision X General Clothing Provision Programs that provide clothing for people who need it. Available items depend on what has been donated and is on hand at any given time. The collection may include but does not specialize in ch,,,,,,,https://gethelp.211info.org/get-help/basic-needs/,,,,"food, phone, program, resources, service, shelter",,https://gethelp.211info.org/get-help/basic-needs/,,,agentic_reextract_v2,2026-05-03T09:56:34.541004,Basic Needs,
,e39d5c777730586c,UMPQUA VALLEY HUMANE SOCIETY RESOURCE CENTER PET ADOPTION ASSISTANCE,Provides help connecting people who need to relinquish a dog with people who want to adopt. Does not operate a shelter but works to rehome dogs. Dogs will be spayed/neutered (if not already) at the agency's expense before going to a new home.,"PO Box 651 Winchester, OR 97495",Winchester,OR,97495,(541) 672-5039,,https://gethelp.211info.org/get-help/basic-needs/animal-adoption/,,,,"eligibility, hours, shelter",,https://gethelp.211info.org/get-help/basic-needs/animal-adoption/,,,agentic_reextract_v2,2026-05-03T09:57:31.720416,UMPQUA VALLEY HUMANE SOCIETY RESOURCE CENTER PET ADOPTION ASSISTANCE,
,eeac9224061eab2b,WASHINGTON COUNTY ANIMAL SERVICES ANIMAL SERVICES,"Picks up stray dogs, cares for stray pets until owners can be contacted, and finds homes for animals not picked up by owners. Provides removal of dead cats or dogs (from public property and roadways only). Investigates cruelty/neglect cases and provides community education about animal care/behavior. Provides dog and puppy licensing services.","1901 SE 24th Avenue MS 53 Hillsboro, OR 97123",Hillsboro,OR,97123,(503) 846-7041,,https://gethelp.211info.org/get-help/basic-needs/animal-control/,,,,"eligibility, hours, phone, service",,https://gethelp.211info.org/get-help/basic-needs/animal-control/,,,agentic_reextract_v2,2026-05-03T09:57:31.648517,WASHINGTON COUNTY ANIMAL SERVICES ANIMAL SERVICES,
,128a207f33496d3b,OREGON HUMANE SOCIETY COMMUNITY VETERINARY HOSPITAL,"Provides veterinary services including preventative care, dentistry, spay and neuter services, and urgent care. Also helps with end-of-life care and pet memorial services.","7865 NE 14th Place Portland, OR 97211",Place Portland,OR,97211,(503) 285-7722,,https://gethelp.211info.org/get-help/basic-needs/animal-euthanasia-services/,,,,"eligibility, hours, service",,https://gethelp.211info.org/get-help/basic-needs/animal-euthanasia-services/,,,agentic_reextract_v2,2026-05-03T09:57:30.976592,OREGON HUMANE SOCIETY COMMUNITY VETERINARY HOSPITAL,
,b71d65456bbcdc25,SOUTH BENTON RESOURCE CENTER FOOD PANTRIES,"Provides a food pantry with canned goods, fresh produce, bread, and dairy products. Distributes pet food, diapers, personal care and hygiene products when available. Offers information and referrals to agencies for various assistance. Accepts donations of shelf-stable food, condiments, personal care and hygiene products, diapers, and pet food.","648 Orchard Street Monroe, OR 97456",Orchard Street Monroe,OR,97456,(541) 745-8759,,https://gethelp.211info.org/get-help/basic-needs/animal-food-supplies-donation-programs/,,,,"eligibility, food, hours",,https://gethelp.211info.org/get-help/basic-needs/animal-food-supplies-donation-programs/,,,agentic_reextract_v2,2026-05-03T09:57:28.666168,SOUTH BENTON RESOURCE CENTER FOOD PANTRIES,
,8389c48742b7b175,WASHINGTON COUNTY ANIMAL SERVICES ANIMAL SERVICES,"Picks up stray dogs, cares for stray pets until owners can be contacted, and finds homes for animals not picked up by owners. Provides removal of dead cats or dogs (from public property and roadways only). Investigates cruelty/neglect cases and provides community education about animal care/behavior. Provides dog and puppy licensing services.","1901 SE 24th Avenue MS 53 Hillsboro, OR 97123",Hillsboro,OR,97123,(503) 846-7041,,https://gethelp.211info.org/get-help/basic-needs/animal-licenses/,,,,"eligibility, hours, phone, service",,https://gethelp.211info.org/get-help/basic-needs/animal-licenses/,,,agentic_reextract_v2,2026-05-03T09:57:31.672046,WASHINGTON COUNTY ANIMAL SERVICES ANIMAL SERVICES,
,c7e3ee1ad49a4bae,PET POISON HELPLINE,"Provides an animal poison control helpline for pet owners and veterinary professionals who require assistance with treating a potentially poisoned pet. Veterinarians staffing the helpline are board-certified in internal medicine, emergency and critical care, and toxicology.","3600 American Boulevard W Suite 725 Bloomington, MN 55431",Bloomington,MN,55431,(855) 764-7661,,https://gethelp.211info.org/get-help/basic-needs/animal-poison-information/,,,,"eligibility, hours",,https://gethelp.211info.org/get-help/basic-needs/animal-poison-information/,,,agentic_reextract_v2,2026-05-03T09:57:31.615233,PET POISON HELPLINE,
,3948e3d45091ff64,PIXIE PROJECT ADOPTION AND RESCUE,"Provides adoption services for people looking for cats or dogs, focusing on finding life-long matches. Works with county shelters and rescues to offer support when they become overcrowded. Animals are examined by a veterinarian and thoroughly screened before entering the adoption center. All animals are spayed or neutered, vaccinated, and microchipped. Accepts owner-surrendered cats as time and circumstances allow. Also displays ""courtesy posts"" of animals needing to be rehomed on website.","510 NE Martin Luther King Jr Boulevard Portland, OR 97232",NE Martin Luther King Jr Boulevard Portland,OR,97232,(503) 542-3432,,https://gethelp.211info.org/get-help/basic-needs/animal-rehoming-listing-services/,,,,"eligibility, hours, service, shelter",,https://gethelp.211info.org/get-help/basic-needs/animal-rehoming-listing-services/,,,agentic_reextract_v2,2026-05-03T09:57:30.987099,PIXIE PROJECT ADOPTION AND RESCUE,
,7bfdd3a498207bcd,WASHINGTON COUNTY ANIMAL SERVICES BONNIE L. HAYS SMALL ANIMAL SHELTER,"Provides care to stray animals, lost and found/pet services, spay/neuter awareness and education, community resources, and humane and safety education.","1901 SE 24th Avenue MS 53 Hillsboro, OR 97123",Hillsboro,OR,97123,(503) 846-7041,,https://gethelp.211info.org/get-help/basic-needs/animal-shelters/,,,,"eligibility, hours, phone, resources, service",,https://gethelp.211info.org/get-help/basic-needs/animal-shelters/,,,agentic_reextract_v2,2026-05-03T09:57:28.744335,WASHINGTON COUNTY ANIMAL SERVICES BONNIE L. HAYS SMALL ANIMAL SHELTER,
